,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,SEASON
76,Saddiq Bey,DET,23,82,23,59,33.0,16.1,5.5,13.9,39.6,2.6,7.4,34.6,2.6,3.1,82.7,1.3,4.1,5.4,2.8,1.2,0.9,0.2,1.6,28.9,6,0,-6.1,2022
77,Jordan Clarkson,UTA,30,79,47,32,27.1,16.0,5.9,14.1,41.9,2.4,7.6,31.8,1.8,2.2,82.8,0.8,2.6,3.5,2.5,1.6,0.8,0.2,1.9,25.3,1,0,4.8,2022
78,Collin Sexton,CLE,23,11,7,4,28.8,16.0,6.2,13.7,45.0,1.0,4.1,24.4,2.6,3.5,74.4,1.2,2.1,3.3,2.1,2.8,0.9,0.0,2.3,23.0,0,0,-2.7,2022
79,Gordon Hayward,CHA,32,49,26,23,31.9,15.9,5.8,12.6,45.9,1.8,4.5,39.1,2.6,3.0,84.6,0.8,3.8,4.6,3.6,1.7,1.0,0.4,1.7,29.4,1,0,-0.4,2022
80,Buddy Hield,IND,29,81,26,55,30.8,15.6,5.5,13.6,40.6,3.2,8.8,36.6,1.4,1.6,87.4,0.8,3.5,4.4,2.8,1.9,0.9,0.3,2.3,26.8,1,0,-2.0,2022
81,Rudy Gobert,UTA,30,66,42,24,32.1,15.6,5.5,7.7,71.3,0.0,0.1,0.0,4.6,6.7,69.0,3.7,11.0,14.7,1.1,1.8,0.7,2.1,2.7,41.3,53,0,6.3,2022
82,Kevin Porter Jr.,HOU,22,61,16,45,31.3,15.6,5.5,13.2,41.5,2.5,6.8,37.5,2.0,3.2,64.2,0.7,3.7,4.4,6.2,3.1,1.1,0.4,2.6,31.4,10,1,-4.6,2022
83,Marcus Morris Sr.,LAC,32,54,26,28,29.0,15.4,5.6,12.8,43.4,1.9,5.1,36.7,2.4,2.7,87.2,0.5,3.9,4.4,2.1,1.3,0.5,0.3,2.1,25.1,2,0,-2.6,2022
84,Tyrese Haliburton,IND,22,77,26,51,35.0,15.3,5.6,11.8,47.3,2.1,5.1,41.4,2.1,2.5,84.2,0.8,3.2,4.0,8.2,2.6,1.7,0.6,1.6,37.0,25,0,-4.2,2022
85,Scottie Barnes,TOR,20,74,43,31,35.4,15.3,6.2,12.6,49.2,0.8,2.6,30.1,2.1,2.9,73.5,2.6,4.9,7.5,3.5,1.8,1.1,0.7,2.6,33.2,13,0,0.9,2022
86,Franz Wagner,ORL,20,79,21,58,30.7,15.2,5.8,12.3,46.8,1.2,3.4,35.4,2.4,2.8,86.3,1.1,3.4,4.5,2.9,1.5,0.9,0.4,2.1,27.3,2,0,-3.1,2022
87,Bogdan Bogdanovic,ATL,29,63,33,30,29.3,15.1,5.4,12.6,43.1,2.7,7.3,36.8,1.5,1.8,84.3,0.5,3.5,4.0,3.1,1.1,1.1,0.2,2.1,27.3,0,0,3.0,2022
88,Jusuf Nurkic,POR,27,56,25,31,28.2,15.0,5.7,10.7,53.5,0.3,1.0,26.8,3.3,4.8,69.0,3.0,8.1,11.1,2.8,2.6,1.1,0.6,3.4,35.1,30,0,0.2,2022
89,Wendell Carter Jr.,ORL,23,62,16,46,29.9,15.0,5.8,11.0,52.5,1.1,3.5,32.7,2.3,3.3,69.1,2.2,8.2,10.5,2.8,1.9,0.6,0.7,2.7,33.6,33,0,-2.2,2022
90,Aaron Gordon,DEN,26,75,46,29,31.7,15.0,5.8,11.1,52.0,1.2,3.5,33.5,2.3,3.1,74.3,1.7,4.2,5.9,2.5,1.8,0.6,0.6,2.0,27.5,6,0,4.3,2022
91,Seth Curry,BKN,31,64,38,26,33.3,15.0,5.6,11.5,48.7,2.5,5.8,42.2,1.3,1.5,87.2,0.3,2.8,3.1,3.6,1.7,0.8,0.2,2.3,25.6,1,0,3.0,2022
92,Evan Mobley,CLE,21,69,40,29,33.8,15.0,6.1,12.0,50.8,0.3,1.3,25.0,2.4,3.7,66.3,2.1,6.2,8.3,2.5,1.9,0.8,1.7,2.1,34.2,21,0,1.4,2022
93,Kelly Oubre Jr.,CHA,26,76,39,37,26.3,15.0,5.4,12.3,44.0,2.5,7.3,34.5,1.7,2.5,66.7,1.0,2.9,4.0,1.1,0.9,1.0,0.4,2.5,24.8,1,0,-0.3,2022
94,Josh Hart,POR,27,54,20,34,33.2,14.9,5.3,10.5,50.4,1.4,3.9,34.3,3.0,3.9,75.8,1.1,6.0,7.2,4.1,2.1,1.1,0.2,2.8,31.8,12,0,-3.7,2022
95,Lauri Markkanen,CLE,25,61,32,29,30.8,14.8,5.1,11.5,44.5,2.2,6.2,35.8,2.3,2.6,86.8,1.0,4.7,5.7,1.3,0.9,0.7,0.5,2.1,26.3,3,0,2.8,2022
96,Chris Paul,PHX,37,65,53,12,32.9,14.7,5.6,11.3,49.3,1.0,3.1,31.7,2.6,3.1,83.7,0.3,4.0,4.4,10.8,2.4,1.9,0.3,2.1,40.3,34,2,7.1,2022
97,Jaylen Hoard,OKC,23,7,2,5,34.2,14.7,6.3,12.9,48.9,1.3,3.6,36.0,0.9,2.0,42.9,4.3,7.7,12.0,2.4,1.1,0.9,0.7,2.0,36.3,4,0,-12.4,2022
98,Will Barton,DEN,31,71,41,30,32.1,14.7,5.5,12.6,43.8,2.2,6.1,36.5,1.4,1.8,80.3,0.6,4.2,4.8,3.9,1.8,0.8,0.4,1.6,28.1,1,0,1.4,2022
99,Bobby Portis,MIL,27,72,46,26,28.2,14.6,5.8,12.1,47.9,1.8,4.7,39.3,1.2,1.6,75.2,2.5,6.6,9.1,1.2,1.3,0.7,0.7,2.4,30.4,24,0,4.4,2022
100,Tim Hardaway Jr.,DAL,30,42,24,18,29.6,14.2,5.0,12.6,39.4,2.4,7.2,33.6,1.9,2.5,75.7,0.3,3.4,3.7,2.2,0.8,0.9,0.1,1.8,24.3,0,0,0.9,2022
101,Mikal Bridges,PHX,25,82,64,18,34.8,14.2,5.6,10.5,53.4,1.4,3.8,36.9,1.6,1.9,83.4,0.9,3.3,4.2,2.3,0.8,1.2,0.4,1.8,26.6,0,0,7.0,2022
102,Evan Fournier,NYK,29,80,36,44,29.5,14.1,5.0,12.1,41.7,3.0,7.7,38.9,1.0,1.4,70.8,0.4,2.2,2.6,2.1,1.3,1.0,0.3,2.3,22.8,0,0,-1.2,2022
103,Malik Monk,LAL,24,76,32,44,28.1,13.8,5.1,10.9,47.3,2.3,5.8,39.1,1.2,1.5,79.5,0.5,2.9,3.4,2.9,1.6,0.8,0.4,1.8,24.1,1,0,0.7,2022
104,Spencer Dinwiddie,DAL,29,67,38,29,29.6,13.7,4.6,11.0,41.6,1.7,4.9,33.9,2.9,3.8,77.4,0.7,3.5,4.2,5.2,1.6,0.7,0.2,2.2,27.5,7,1,-0.7,2022
105,Mike Conley,UTA,34,72,44,28,28.6,13.7,4.8,11.0,43.5,2.3,5.8,40.8,1.8,2.3,79.6,0.7,2.4,3.0,5.3,1.7,1.3,0.3,2.0,28.5,2,0,4.8,2022
106,Kevin Love,CLE,33,74,38,36,22.5,13.6,4.4,10.3,43.0,2.5,6.4,39.2,2.2,2.7,83.8,1.2,6.1,7.2,2.2,1.3,0.4,0.2,1.4,26.0,15,0,1.3,2022
107,Dennis Schroder,HOU,28,64,32,32,28.7,13.5,4.9,11.3,43.1,1.3,3.9,34.4,2.5,2.9,85.3,0.5,2.8,3.3,4.6,2.2,0.8,0.1,2.4,25.1,1,0,-0.5,2022
108,Jakob Poeltl,SAS,26,68,30,38,29.0,13.5,6.0,9.8,61.8,0.0,0.0,100,1.4,2.8,49.5,3.9,5.5,9.3,2.8,1.6,0.7,1.7,3.1,34.4,28,0,1.7,2022
109,Eric Gordon,HOU,33,57,19,38,29.3,13.4,4.7,9.9,47.5,2.2,5.3,41.2,1.8,2.4,77.8,0.3,1.7,2.0,2.7,1.9,0.5,0.3,1.1,20.4,0,0,-3.1,2022
110,Kyle Lowry,MIA,36,63,41,22,33.9,13.4,4.4,10.0,44.0,2.3,6.1,37.7,2.3,2.8,85.1,0.5,4.0,4.5,7.5,2.7,1.1,0.3,2.8,31.4,16,2,4.0,2022
111,De'Andre Hunter,ATL,24,53,28,25,29.8,13.4,4.8,10.8,44.2,1.4,3.7,37.9,2.4,3.1,76.5,0.5,2.8,3.3,1.3,1.3,0.7,0.4,2.9,21.2,2,0,0.5,2022
112,Carmelo Anthony,LAL,38,69,27,42,26.0,13.3,4.6,10.5,44.1,2.2,5.8,37.5,1.9,2.3,83.0,0.9,3.3,4.2,1.0,0.9,0.7,0.8,2.4,23.3,1,0,-1.3,2022
113,Derrick White,BOS,27,75,40,35,29.3,13.2,4.5,10.7,42.1,1.5,4.9,31.2,2.7,3.1,86.4,0.5,3.0,3.5,4.9,1.6,0.9,0.8,2.3,28.0,2,0,2.7,2022
114,Kentavious Caldwell-Pope,WAS,29,77,34,43,30.2,13.2,4.7,10.8,43.5,2.1,5.3,39.0,1.8,2.0,89.0,0.5,2.9,3.4,1.9,1.3,1.1,0.3,1.8,23.1,2,0,-3.0,2022
115,Montrezl Harrell,CHA,28,71,36,35,23.1,13.1,5.0,7.8,64.5,0.1,0.2,23.5,3.0,4.2,71.6,2.1,4.0,6.1,2.0,1.0,0.4,0.6,1.9,25.5,7,0,1.2,2022
116,Chris Duarte,IND,25,55,21,34,28.0,13.1,4.9,11.3,43.2,1.7,4.6,36.9,1.6,2.0,80.4,0.7,3.4,4.1,2.1,1.6,1.0,0.2,1.7,23.1,0,0,-1.0,2022
117,Ricky Rubio,IND,31,34,20,14,28.5,13.1,4.4,12.1,36.3,1.7,5.1,33.9,2.6,3.0,85.4,0.4,3.7,4.1,6.6,2.6,1.4,0.2,2.2,30.3,5,0,5.4,2022
118,Lonzo Ball,CHI,24,35,22,13,34.6,13.0,4.6,10.9,42.3,3.1,7.4,42.3,0.6,0.8,75.0,1.0,4.4,5.4,5.1,2.3,1.8,0.9,2.4,32.9,3,1,2.3,2022
119,LaMarcus Aldridge,BKN,36,47,26,21,22.3,12.9,5.4,9.7,55.0,0.3,1.0,30.4,1.9,2.2,87.3,1.6,3.9,5.5,0.9,0.9,0.3,1.0,1.7,23.8,2,0,0.4,2022
120,Brandon Williams,POR,22,24,2,22,26.7,12.9,4.4,11.8,37.2,1.3,4.4,29.2,2.8,4.0,70.1,0.8,2.3,3.1,3.9,2.4,1.0,0.4,2.2,24.3,2,0,-11.3,2022
121,Myles Turner,IND,26,42,15,27,29.4,12.9,4.8,9.4,50.9,1.5,4.4,33.3,1.9,2.5,75.2,1.5,5.5,7.1,1.0,1.3,0.7,2.8,2.8,32.1,9,0,-0.3,2022
122,Coby White,CHI,22,61,32,29,27.5,12.7,4.6,10.6,43.3,2.2,5.8,38.5,1.3,1.5,85.7,0.3,2.7,3.0,2.9,1.1,0.5,0.2,2.2,21.4,1,0,-0.6,2022
123,Monte Morris,DEN,27,75,44,31,29.9,12.6,5.0,10.3,48.4,1.7,4.2,39.5,1.0,1.1,86.9,0.4,2.7,3.0,4.4,1.0,0.7,0.2,1.2,24.6,0,0,3.8,2022
124,Josh Giddey,OKC,19,54,17,37,31.5,12.5,5.2,12.4,41.9,1.0,3.9,26.3,1.0,1.5,70.9,1.8,6.0,7.8,6.4,3.2,0.9,0.4,1.6,32.2,16,4,-5.5,2022
125,Cameron Johnson,PHX,26,66,50,16,26.2,12.5,4.2,9.2,46.0,2.5,5.9,42.5,1.5,1.7,86.0,0.6,3.5,4.1,1.5,0.7,0.9,0.2,1.7,22.3,0,0,3.3,2022
126,Brook Lopez,MIL,34,13,10,3,23.0,12.4,4.7,10.1,46.6,1.5,4.1,35.8,1.5,1.8,87.0,1.5,2.6,4.1,0.5,0.9,0.6,1.2,2.6,22.4,0,0,-0.5,2022
127,Victor Oladipo,MIA,30,8,4,4,21.6,12.4,4.4,9.1,47.9,1.9,4.5,41.7,1.8,2.4,73.7,0.4,2.5,2.9,3.5,2.0,0.6,0.1,1.6,21.3,1,0,-0.6,2022
128,Devin Vassell,SAS,21,71,29,42,27.3,12.3,4.6,10.8,42.7,1.9,5.4,36.1,1.2,1.4,83.8,0.6,3.7,4.3,1.9,0.8,1.1,0.6,2.0,24.5,1,0,0.5,2022
129,Lonnie Walker IV,SAS,23,70,27,43,23.0,12.1,4.4,10.9,40.7,1.6,5.0,31.4,1.7,2.1,78.4,0.3,2.3,2.6,2.2,1.0,0.6,0.3,1.4,20.2,0,0,-1.1,2022
130,Marcus Smart,BOS,28,71,47,24,32.3,12.1,4.2,10.1,41.8,1.7,5.1,33.1,2.0,2.5,79.3,0.6,3.2,3.8,5.9,2.2,1.7,0.3,2.3,29.0,2,0,6.2,2022
131,Malik Beasley,MIN,25,79,46,33,25.0,12.1,4.2,10.8,39.1,3.0,8.1,37.7,0.6,0.8,81.7,0.3,2.5,2.9,1.5,0.5,0.5,0.2,1.1,19.3,0,0,1.0,2022
132,Kevin Huerter,ATL,23,74,40,34,29.6,12.1,4.7,10.3,45.4,2.2,5.6,38.9,0.6,0.7,80.8,0.4,3.0,3.4,2.7,1.2,0.7,0.4,2.5,22.3,1,0,2.3,2022
133,Derrick Rose,NYK,33,26,11,15,24.5,12.0,4.7,10.5,44.5,1.4,3.5,40.2,1.2,1.2,96.8,0.8,2.2,3.0,4.0,1.5,0.8,0.5,0.6,23.9,0,0,3.5,2022
134,Luke Kennard,LAC,26,70,35,35,27.4,11.9,4.1,9.1,44.9,2.7,6.0,44.9,1.0,1.1,89.6,0.3,3.0,3.3,2.1,0.9,0.6,0.1,1.4,20.2,1,0,2.6,2022
135,Devonte' Graham,NOP,27,76,34,42,28.4,11.9,3.9,10.7,36.3,2.5,7.4,34.1,1.6,1.8,84.3,0.5,1.8,2.3,4.2,1.4,0.9,0.2,1.3,22.8,0,0,0.5,2022
