,PLAYER,TEAM,AGE,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,HEIGHT,WEIGHT,POSITION
DanielGafford|2020,DanielGafford,CHI,21,43,5.1,2.2,3.1,70.1,0.0,0.0,0.0,0.7,1.4,53.3,1.2,1.3,2.5,0.5,0.7,0.3,1.3,2.3,0,0,205.74,234,C
JaxsonHayes|2022,JaxsonHayes,NOP,22,70,9.3,3.5,5.7,61.6,0.3,0.8,35.1,2.1,2.7,76.6,1.6,2.9,4.5,0.6,0.8,0.5,0.8,2.2,4,0,210.82,220,C
JaxsonHayes|2021,JaxsonHayes,NOP,21,60,7.5,2.9,4.7,62.5,0.1,0.2,42.9,1.6,2.0,77.5,1.5,2.8,4.3,0.6,0.7,0.4,0.6,1.7,0,0,210.82,220,C
JaxsonHayes|2020,JaxsonHayes,NOP,20,64,7.4,2.7,4.0,67.2,0.0,0.1,25.0,1.9,3.0,64.7,1.5,2.5,4.0,0.9,0.8,0.4,0.9,2.5,3,0,210.82,220,C
JohnathanKuminga|2022,JohnathanKuminga,GSW,19,70,9.3,3.4,6.6,51.3,0.7,2.1,33.6,1.9,2.7,68.4,0.8,2.6,3.3,0.9,1.1,0.4,0.3,2.1,2,0,200.66,225,SF
JadenMcDaniels|2022,JadenMcDaniels,MIN,21,70,9.2,3.6,7.9,46.0,1.1,3.6,31.7,0.8,1.0,80.3,1.1,3.1,4.2,1.1,1.1,0.7,0.8,3.2,0,0,205.74,185,PF
JadenMcDaniels|2021,JadenMcDaniels,MIN,20,63,6.8,2.6,5.8,44.7,1.1,3.1,36.4,0.4,0.7,60.0,0.8,2.9,3.7,1.1,0.7,0.6,1.0,2.7,0,0,205.74,185,PF
JalenSmith|2022,JalenSmith,IND,22,51,9.2,3.5,6.9,50.3,0.8,2.4,32.8,1.5,2.0,76.5,2.0,4.0,6.0,0.5,0.8,0.3,0.8,1.9,9,0,208.28,215,PF
GeorgesNiang|2022,GeorgesNiang,PHI,29,76,9.2,3.2,7.4,43.7,2.1,5.1,40.3,0.7,0.8,88.1,0.3,2.3,2.7,1.3,0.8,0.4,0.2,2.5,0,0,200.66,230,PF
GeorgesNiang|2021,GeorgesNiang,UTA,28,72,6.9,2.5,5.6,43.7,1.7,4.1,42.5,0.3,0.3,95.7,0.4,2.1,2.4,0.8,0.7,0.3,0.1,1.6,1,0,200.66,230,PF
GeorgesNiang|2020,GeorgesNiang,UTA,27,66,5.9,2.1,4.9,43.8,1.4,3.4,40.0,0.3,0.4,83.3,0.2,1.7,1.9,0.7,0.5,0.3,0.1,1.1,0,0,200.66,230,PF
PatrickBeverley|2022,PatrickBeverley,MIN,33,58,9.2,3.1,7.5,40.6,1.4,4.2,34.3,1.7,2.3,72.2,1.1,3.1,4.1,4.6,1.3,1.2,0.9,3.0,2,0,185.42,180,PG
PatrickBeverley|2021,PatrickBeverley,LAC,32,37,7.5,2.5,5.9,42.3,1.5,3.8,39.7,1.0,1.2,80.0,0.8,2.4,3.2,2.1,0.9,0.8,0.8,2.9,0,0,185.42,180,PG
PatrickBeverley|2020,PatrickBeverley,LAC,31,51,7.9,2.9,6.7,43.1,1.6,4.0,38.8,0.6,0.9,66.0,1.1,4.1,5.2,3.6,1.3,1.1,0.5,3.1,4,0,185.42,180,PG
JaValeMcGee|2022,JaValeMcGee,PHX,34,74,9.2,3.9,6.2,62.9,0.0,0.1,22.2,1.4,2.0,69.9,2.2,4.5,6.7,0.6,1.3,0.3,1.1,2.4,10,0,213.36,270,C
JaValeMcGee|2021,JaValeMcGee,DEN,33,46,7.3,3.1,6.1,51.1,0.1,0.5,20.8,1.0,1.5,65.7,1.7,3.5,5.2,0.8,1.3,0.4,1.2,2.6,1,0,213.36,270,C
JaValeMcGee|2020,JaValeMcGee,LAL,32,68,6.6,2.9,4.5,63.7,0.0,0.1,50.0,0.8,1.2,64.6,1.8,3.9,5.7,0.5,0.8,0.5,1.4,2.3,2,0,213.36,270,C
CalebMartin|2022,CalebMartin,MIA,26,60,9.2,3.5,6.8,50.7,1.1,2.6,41.3,1.2,1.6,76.3,1.2,2.7,3.8,1.1,0.9,1.0,0.5,1.7,1,0,195.57999999999998,205,SF
CalebMartin|2021,CalebMartin,CHA,25,53,5.0,1.8,4.8,37.5,0.6,2.4,24.8,0.8,1.2,64.1,0.6,2.1,2.7,1.3,0.6,0.7,0.2,1.2,1,0,195.57999999999998,205,SF
OshaeBrissett|2022,OshaeBrissett,IND,24,67,9.1,3.1,7.6,41.1,1.2,3.5,35.0,1.7,2.4,69.5,1.6,3.7,5.3,1.1,0.8,0.7,0.4,1.7,5,0,200.66,210,SF
KellyOlynyk|2022,KellyOlynyk,DET,31,40,9.1,3.2,7.2,44.8,1.0,3.0,33.6,1.7,2.2,77.5,1.4,3.1,4.4,2.8,1.5,0.8,0.5,2.5,1,0,210.82,240,C
KellyOlynyk|2021,KellyOlynyk,HOU,30,70,13.5,4.8,10.0,48.4,1.8,5.3,34.2,2.1,2.5,82.9,1.2,5.7,7.0,2.9,1.8,1.1,0.6,3.0,12,0,210.82,240,C
KellyOlynyk|2020,KellyOlynyk,MIA,29,67,8.2,2.7,5.9,46.2,1.4,3.5,40.6,1.3,1.5,86.0,0.7,3.9,4.6,1.7,1.1,0.7,0.3,2.6,3,0,210.82,240,C
PreciousAchiuwa|2022,PreciousAchiuwa,TOR,22,73,9.1,3.6,8.3,43.9,0.8,2.1,35.9,1.1,1.8,59.5,2.0,4.5,6.5,1.1,1.2,0.5,0.6,2.1,6,0,203.2,225,C
PreciousAchiuwa|2021,PreciousAchiuwa,MIA,21,61,5.0,2.0,3.7,54.4,0.0,0.0,0.0,0.9,1.8,50.9,1.2,2.2,3.4,0.5,0.7,0.3,0.5,1.5,3,0,203.2,225,C
WillyHernangomez|2022,WillyHernangomez,NOP,28,50,9.1,3.4,6.5,52.0,0.1,0.2,33.3,2.2,2.8,77.3,2.9,3.9,6.8,1.3,1.0,0.4,0.4,1.9,9,0,210.82,250,C
WillyHernangomez|2021,WillyHernangomez,NOP,27,47,7.8,3.2,5.7,56.3,0.0,0.2,10.0,1.3,2.0,66.7,2.5,4.6,7.1,1.1,0.7,0.5,0.5,1.4,11,0,210.82,250,C
WillyHernangomez|2020,WillyHernangomez,CHA,26,31,6.1,2.4,4.5,53.2,0.2,0.7,22.7,1.2,1.9,62.7,1.4,2.9,4.3,0.9,1.0,0.3,0.2,1.0,2,0,210.82,250,C
DonteDiVincenzo|2022,DonteDiVincenzo,SAC,25,42,9.0,2.8,8.0,35.1,1.8,5.2,33.9,1.7,2.0,84.3,1.0,3.1,4.0,2.8,1.7,1.1,0.2,1.6,0,0,193.04,203,SG
DonteDiVincenzo|2021,DonteDiVincenzo,MIL,24,66,10.4,3.8,9.1,42.0,2.0,5.2,37.9,0.8,1.1,71.8,1.2,4.5,5.8,3.1,1.4,1.1,0.2,1.7,5,0,193.04,203,SG
